user_name,ethereum_address
Phillip Valdez,0x448C2b1C7b29D038B62D2028b109DC30daE224a5
Anna Carlson,0x21Cbe0560002394e6ec809A881Ff26e3Ee0a76A4
Courtney Kelley,0xD8357B93585A4be8C7dEB2CC82c65FE9E5Ed43cA
Wayne Parker,0x09a921C358B4BF432a5c0B38117ab2ECfAcf5bE0
Jeffrey Luna,0xa8fD6547FEC1FA7C96c605bbf5BD0201bB34931D
Amy Kelley,0x9f12D11E4F21448fb941E786AA12988173aAf8CA
Richard Conley,0x40716bd34263DFe50bED41D49F54F7Ecc5236Ba7
Christine Flynn,0x1D6EE4De435A009D0EF685e52058dB1fCE093E46
Lisa Andersen,0x6505354764289d7FE111e5f9C6C9f7286fB7aF69
Jonathan Williams,0x79d00141cFB2A76fdcFE471b63da2CcbE058b9e6
